N,occurrence_id,classification,type_of_occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
350,36373,SERIOUS INCIDENT,ANOTHER TYPES,MANAUS,AM,BRAZIL,****,05/09/2008,15:30:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
351,52942,ACCIDENT,LANDING WITHOUT LANDING GEAR,MANAUS,AM,BRAZIL,SWFN,18/01/2014,19:50:00,YES,SERIPA-7,FINISHED,-,1.0,22/08/2014,0,1,-,30/07/2016
352,46901,ACCIDENT,ABOUT LANDING GEAR,MANAUS,AM,BRAZIL,SBEG,26/03/2012,20:30:00,YES,SERIPA-7,FINISHED,-,1.0,20/09/2012,2,1,0.0,30/07/2016
353,45573,ACCIDENT,FLIGHT COMMANDS,MANAUS,AM,BRAZIL,****,28/02/2012,10:15:00,YES,SERIPA-7,FINISHED,-,1.0,15/05/2015,2,1,-,30/07/2016
354,44759,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,MANAUS,AM,BRAZIL,SWFN,26/02/2007,21:47:00,YES,SERIPA-7,FINISHED,-,1.0,01/07/2010,5,1,-,30/07/2016
355,53568,SERIOUS INCIDENT,ABOUT LANDING GEAR,MANAUS,AM,BRAZIL,SWFN,17/11/2015,17:55:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
356,30016,SERIOUS INCIDENT,ABOUT LANDING GEAR,MANAUS,AM,BRAZIL,SWFN,16/07/2007,16:15:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
357,46281,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,MANAUS,AM,BRAZIL,SWFN,10/08/2012,12:20:00,YES,SERIPA-7,FINISHED,-,1.0,02/10/2014,1,1,1.0,30/07/2016
358,38818,ACCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,MANAUS,AM,BRAZIL,SBEG,17/12/2009,14:49:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,4,1,-,30/07/2016
359,47138,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,MANAUS,AM,BRAZIL,****,11/03/2013,23:27:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
360,38843,ACCIDENT,ANOTHER TYPES,MANAUS,AM,BRAZIL,SBEG,25/12/2009,23:25:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
361,31080,ACCIDENT,LOSS OF CONTROL IN THE AIR,MANAUS,AM,BRAZIL,****,23/11/2007,12:50:00,YES,SERIPA-7,FINISHED,-,1.0,12/06/2014,2,1,-,30/07/2016
362,49116,ACCIDENT,LOSS OF CONTROL ON THE GROUND,MANAUS,AM,BRAZIL,SBEG,16/07/2013,09:22:00,YES,SERIPA-7,FINISHED,-,1.0,22/04/2016,1,1,1.0,30/07/2016
363,46914,ACCIDENT,LOSS OF CONTROL ON THE GROUND,MANAUS,AM,BRAZIL,SWFN,02/02/2013,18:30:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
364,52295,SERIOUS INCIDENT,TIRE BURST,MANAUS,AM,BRAZIL,SBEG,01/09/2014,12:57:00,YES,SERIPA-7,FINISHED,-,1.0,21/07/2015,1,1,-,30/07/2016
365,27302,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,MANAUS,AM,BRAZIL,SWFN,15/02/2006,14:35:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
366,33836,ACCIDENT,LOSS OF CONTROL IN THE AIR,MANAUS,AM,BRAZIL,SWFN,10/10/2008,14:50:00,YES,SERIPA-7,FINISHED,-,1.0,05/05/2010,2,1,-,30/07/2016
367,44436,ACCIDENT,LOSS OF CONTROL IN THE AIR,MANAUS,AM,BRAZIL,SBEG,21/04/2011,18:51:00,YES,SERIPA-7,FINISHED,-,1.0,24/04/2015,1,1,-,30/07/2016
368,37555,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,MANAUS,AM,BRAZIL,SBEG,30/04/2009,09:50:00,YES,SERIPA-7,FINISHED,-,1.0,15/04/2016,2,1,-,30/07/2016
369,39916,SERIOUS INCIDENT,TIRE BURST,MANAUS,AM,BRAZIL,SBEG,07/03/2010,19:35:00,YES,SERIPA-7,FINISHED,-,1.0,30/12/2013,2,1,1.0,30/07/2016
370,51568,SERIOUS INCIDENT,HARD LANDING,MANAUS,AM,BRAZIL,SWFN,19/06/2014,13:02:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
371,46852,ACCIDENT,LOSS OF CONTROL IN THE AIR,MANAUS,AM,BRAZIL,SWFN,24/01/2013,20:15:00,YES,SERIPA-7,FINISHED,-,1.0,18/03/2016,0,1,-,30/07/2016
372,52653,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,MANAUS,AM,BRAZIL,SWFN,28/10/2014,13:45:00,YES,SERIPA-7,FINISHED,-,1.0,22/04/2016,0,1,1.0,30/07/2016
373,34539,ACCIDENT,LOSS OF CONTROL IN THE AIR,MANAUS,AM,BRAZIL,****,07/12/2008,11:15:00,YES,SERIPA-7,FINISHED,-,1.0,28/08/2009,7,1,-,30/07/2016
374,26621,ACCIDENT,LOSS OF CONTROL IN THE AIR,CAMPO NOVO DO PARECIS,MT,BRAZIL,****,07/03/2006,13:15:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
375,45284,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CAMPO NOVO DO PARECIS,MT,BRAZIL,SJTO,02/12/2011,15:45:00,YES,SERIPA-6,FINISHED,-,1.0,29/04/2014,1,1,-,30/07/2016
376,26609,ACCIDENT,LOW ALTITUDE MANEUVERS,CAMPO NOVO DO PARECIS,MT,BRAZIL,****,26/03/2006,13:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
377,47981,ACCIDENT,LOSS OF CONTROL IN THE AIR,CAMPO NOVO DO PARECIS,MT,BRAZIL,****,30/04/2013,21:32:00,YES,SERIPA-6,FINISHED,-,1.0,08/10/2014,2,1,-,30/07/2016
378,43703,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CAMPO VERDE,MT,BRAZIL,****,15/01/2011,19:00:00,YES,SERIPA-6,FINISHED,-,1.0,01/10/2014,0,1,-,30/07/2016
379,40264,ACCIDENT,LANDING ON UNPREDICTABLE PLACE,CAMPO VERDE,MT,BRAZIL,****,20/04/2010,16:30:00,YES,SERIPA-4,FINISHED,-,1.0,22/03/2012,2,1,-,30/07/2016
380,33335,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CANABRAVA DO NORTE,MT,BRAZIL,****,13/07/2008,14:00:00,YES,SERIPA-4,FINISHED,-,1.0,16/11/2009,7,1,-,30/07/2016
381,45730,ACCIDENT,LOSS OF CONTROL ON THE GROUND,MARICA,RJ,BRAZIL,SDMC,23/03/2012,16:15:00,YES,SERIPA-3,FINISHED,-,1.0,21/10/2013,0,1,1.0,30/07/2016
382,49935,SERIOUS INCIDENT,ABOUT LANDING GEAR,MARICA,RJ,BRAZIL,SDMC,05/10/2013,18:29:00,UNKNOWN,SERIPA-3,-,-,-,-,0,1,-,30/07/2016
383,50291,ACCIDENT,UNKNOWN,MARICA,RJ,BRAZIL,****,21/10/2013,19:40:00,YES,SERIPA-3,IN PROGRESS,-,-,-,1,1,-,30/07/2016
384,49651,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,MARICA,RJ,BRAZIL,SDMC,11/09/2013,17:10:00,YES,SERIPA-3,IN PROGRESS,-,-,-,0,1,-,30/07/2016
385,45833,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,MARICA,RJ,BRAZIL,****,03/05/2012,11:20:00,YES,SERIPA-3,FINISHED,-,1.0,28/08/2015,0,1,-,30/07/2016
386,46590,ACCIDENT,LOSS OF CONTROL ON THE GROUND,MARICA,RJ,BRAZIL,SDMC,22/11/2012,11:45:00,YES,SERIPA-3,FINISHED,-,1.0,21/07/2015,0,1,-,30/07/2016
387,46171,ACCIDENT,SYSTEM / COMPONENT FAILURE,MARICA,RJ,BRAZIL,****,24/07/2012,19:15:00,YES,SERIPA-3,FINISHED,-,1.0,21/10/2013,0,1,-,30/07/2016
388,46043,SERIOUS INCIDENT,ABOUT LANDING GEAR,MARICA,RJ,BRAZIL,SDMC,30/06/2012,14:05:00,YES,SERIPA-3,FINISHED,-,1.0,15/08/2014,0,1,1.0,30/07/2016
389,43656,ACCIDENT,LOSS OF CONTROL ON THE GROUND,MARICA,RJ,BRAZIL,****,11/01/2011,15:45:00,YES,SERIPA-3,FINISHED,-,-,-,0,1,-,30/07/2016
390,46562,ACCIDENT,LOSS OF CONTROL IN THE AIR,CANARANA,MT,BRAZIL,****,31/10/2012,10:05:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,-,30/07/2016
391,53193,ACCIDENT,LOSS OF CONTROL IN THE AIR,CANARANA,MT,BRAZIL,****,14/03/2015,18:00:00,YES,SERIPA-6,FINISHED,-,1.0,16/11/2015,0,1,-,30/07/2016
392,45937,ACCIDENT,SLOW LANDING,CANARANA,MT,BRAZIL,SWEK,22/06/2012,14:00:00,YES,SERIPA-6,FINISHED,-,1.0,27/11/2013,0,1,1.0,30/07/2016
393,46850,ACCIDENT,LANDING WITHOUT LANDING GEAR,CANARANA,MT,BRAZIL,SWEK,22/01/2013,15:00:00,YES,SERIPA-6,FINISHED,-,1.0,26/08/2013,0,1,-,30/07/2016
394,41236,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,FELIZ DESERTO,AL,BRAZIL,****,29/05/2010,09:55:00,YES,SERIPA-2,FINISHED,-,1.0,30/12/2013,3,1,-,30/07/2016
395,32615,ACCIDENT,LOSS OF CONTROL IN THE AIR,CAMPO GRANDE,MS,BRAZIL,SSKG,10/06/2008,20:00:00,YES,SERIPA-5,FINISHED,-,1.0,07/12/2009,7,1,-,30/07/2016
396,45597,ACCIDENT,ABOUT LANDING GEAR,CAMPO GRANDE,MS,BRAZIL,SBCG,12/03/2012,14:38:00,YES,SERIPA-6,FINISHED,-,1.0,10/07/2013,2,1,1.0,30/07/2016
397,52640,ACCIDENT,SYSTEM / COMPONENT FAILURE,CAMPO GRANDE,MS,BRAZIL,SBCG,22/10/2014,14:01:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
398,53113,SERIOUS INCIDENT,AIR TRAFFIC,CAMPO GRANDE,MS,BRAZIL,****,23/08/2014,02:43:00,YES,SERIPA-4,FINISHED,-,1.0,30/04/2015,0,1,-,30/07/2016
399,50053,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CAMPO GRANDE,MS,BRAZIL,SSAY,20/10/2013,18:40:00,YES,SERIPA-6,FINISHED,-,1.0,14/10/2014,0,1,1.0,30/07/2016
400,48053,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMPO GRANDE,MS,BRAZIL,****,09/05/2013,13:43:00,YES,SERIPA-4,FINISHED,-,1.0,16/09/2013,1,1,-,30/07/2016
401,29655,ACCIDENT,TIRE BURST,CAMPO GRANDE,MS,BRAZIL,SBCG,08/07/2007,17:08:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
402,27532,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,CAMPO GRANDE,MS,BRAZIL,SBCG,09/08/2006,14:55:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
403,32380,ACCIDENT,LOSS OF CONTROL IN THE AIR,CAMPO GRANDE,MS,BRAZIL,SSIE,04/05/2008,20:30:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
404,40148,ACCIDENT,FUEL STARVATION,CAMPO GRANDE,MS,BRAZIL,****,19/03/2010,19:30:00,YES,SERIPA-4,FINISHED,-,1.0,01/08/2011,1,1,-,30/07/2016
405,50792,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMPO GRANDE,MS,BRAZIL,****,21/01/2014,20:10:00,YES,SERIPA-6,FINISHED,-,1.0,22/08/2014,0,1,-,30/07/2016
406,31456,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CAMPO GRANDE,MS,BRAZIL,SBCG,31/01/2008,22:10:00,YES,SERIPA-4,FINISHED,-,1.0,19/03/2010,2,1,1.0,30/07/2016
407,49798,SERIOUS INCIDENT,ABOUT LANDING GEAR,CAMPO GRANDE,MS,BRAZIL,SSKG,02/10/2013,20:00:00,YES,SERIPA-6,FINISHED,-,1.0,28/04/2014,0,1,-,30/07/2016
408,52819,ACCIDENT,UNKNOWN,CAMPO GRANDE,MS,BRAZIL,****,06/12/2014,10:21:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
409,34639,SERIOUS INCIDENT,ABOUT PROPELLER,CAMPO GRANDE,MS,BRAZIL,****,25/11/2008,17:15:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
410,45747,ACCIDENT,LANDING WITHOUT LANDING GEAR,CAMPO GRANDE,MS,BRAZIL,SSKG,13/04/2012,20:30:00,YES,SERIPA-6,FINISHED,-,1.0,21/07/2014,0,1,-,30/07/2016
411,53109,ACCIDENT,ABOUT LANDING GEAR,CAMPO GRANDE,MS,BRAZIL,SSIE,05/03/2015,13:50:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
412,43778,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMPO GRANDE,MS,BRAZIL,****,28/01/2011,20:50:00,YES,SERIPA-6,FINISHED,-,1.0,23/07/2012,5,1,-,30/07/2016
413,38475,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMPO GRANDE,MS,BRAZIL,****,28/11/2008,16:15:00,YES,SERIPA-4,FINISHED,-,1.0,11/09/2009,9,1,-,30/07/2016
414,46587,ACCIDENT,ABOUT LANDING GEAR,CAMPO GRANDE,MS,BRAZIL,SBCG,19/11/2012,16:33:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
415,38675,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMPO GRANDE,MS,BRAZIL,SSAY,27/10/2009,20:30:00,YES,SERIPA-4,FINISHED,-,1.0,29/08/2011,1,1,-,30/07/2016
416,44629,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CAMPO GRANDE,MS,BRAZIL,****,29/05/2011,19:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
417,46514,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CAMPO GRANDE,MS,BRAZIL,****,20/10/2012,15:00:00,YES,SERIPA-4,FINISHED,-,-,-,0,1,-,30/07/2016
418,43282,SERIOUS INCIDENT,HARD LANDING,CAMPO GRANDE,MS,BRAZIL,SBCG,18/11/2010,23:08:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
419,50980,ACCIDENT,UNKNOWN,CONCEICAO DO ARAGUAIA,PA,BRAZIL,****,11/03/2014,18:30:00,YES,SERIPA-1,IN PROGRESS,-,-,-,0,1,-,30/07/2016
420,52276,ACCIDENT,UNKNOWN,CUMARU DO NORTE,PA,BRAZIL,****,30/08/2014,13:10:00,YES,SERIPA-1,FINISHED,-,1.0,24/04/2015,0,1,-,30/07/2016
421,44878,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CURIONOPOLIS,PA,BRAZIL,****,22/07/2011,18:30:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,-,-,1,1,-,30/07/2016
422,37379,ACCIDENT,TERRAIN COLLISION,ARACATUBA,SP,BRAZIL,****,14/05/2009,21:00:00,YES,SERIPA-4,FINISHED,-,1.0,30/06/2011,9,1,-,30/07/2016
423,43403,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ARACATUBA,SP,BRAZIL,****,13/11/2010,23:30:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
424,51774,SERIOUS INCIDENT,ABOUT PROPELLER,ARACATUBA,SP,BRAZIL,SBAU,06/09/2011,23:30:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
425,38856,ACCIDENT,UNKNOWN,CAROLINA,MA,BRAZIL,****,23/12/2009,16:44:00,YES,SERIPA-1,FINISHED,-,1.0,29/08/2011,1,1,-,30/07/2016
426,50977,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,CAROLINA,MA,BRAZIL,****,03/03/2014,11:26:00,YES,SERIPA-1,IN PROGRESS,-,-,-,0,1,-,30/07/2016
427,40074,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,MAUES,AM,BRAZIL,SWMW,09/09/2009,12:50:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
428,53151,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,MAUES,AM,BRAZIL,SWMW,16/03/2015,18:07:00,YES,SERIPA-7,IN PROGRESS,-,-,-,0,1,-,30/07/2016
429,45310,ACCIDENT,UNKNOWN,MAUES,AM,BRAZIL,****,28/09/2011,03:00:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
430,35036,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,MAUES,AM,BRAZIL,****,02/01/2009,10:50:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
431,31036,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CACEQUI,RS,BRAZIL,****,05/11/2007,19:30:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
432,51435,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,ITABAIANA,SE,BRAZIL,****,09/03/2014,19:45:00,UNKNOWN,SERIPA-2,-,-,-,-,0,1,-,30/07/2016
433,31860,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,CHAPADAO DO SUL,MS,BRAZIL,****,24/01/2008,13:20:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
434,34955,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,CHAPADAO DO SUL,MS,BRAZIL,****,27/01/2009,12:00:00,YES,SERIPA-4,FINISHED,-,1.0,16/10/2009,7,1,-,30/07/2016
435,50806,ACCIDENT,ABOUT PROPELLER,CHAPADAO DO SUL,MS,BRAZIL,****,12/02/2014,09:12:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
436,47674,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,CHAPADAO DO SUL,MS,BRAZIL,****,18/04/2013,12:20:00,YES,SERIPA-4,FINISHED,-,1.0,16/09/2013,0,1,-,30/07/2016
437,34075,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ELDORADO DOS CARAJAS,PA,BRAZIL,****,05/03/2008,16:00:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
438,38838,ACCIDENT,LOSS OF CONTROL IN THE AIR,ELDORADO DOS CARAJAS,PA,BRAZIL,****,04/11/2009,17:30:00,YES,SERIPA-1,FINISHED,-,1.0,15/06/2012,2,1,-,30/07/2016
439,42388,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CACHOEIRA DO SUL,RS,BRAZIL,****,24/08/2010,19:40:00,YES,SERIPA-5,FINISHED,-,1.0,21/07/2011,1,1,-,30/07/2016
440,50797,ACCIDENT,SYSTEM / COMPONENT FAILURE,CACHOEIRA DO SUL,RS,BRAZIL,SSKS,29/01/2014,13:40:00,YES,SERIPA-5,FINISHED,-,1.0,22/04/2016,2,1,-,30/07/2016
441,38819,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CACHOEIRA DO SUL,RS,BRAZIL,****,16/12/2009,15:30:00,YES,SERIPA-5,FINISHED,-,1.0,22/03/2012,1,1,-,30/07/2016
442,31865,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,CACHOEIRA DO SUL,RS,BRAZIL,****,04/02/2008,15:30:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
443,51412,ACCIDENT,LOSS OF CONTROL IN THE AIR,CACHOEIRA DO SUL,RS,BRAZIL,****,10/05/2014,20:25:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
444,28395,ACCIDENT,STRUCTURAL FAILURE,CHAPADA DOS GUIMARAES,MT,BRAZIL,****,07/02/2007,10:10:00,YES,SERIPA-6,FINISHED,-,1.0,21/12/2011,1,1,-,30/07/2016
445,46582,ACCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,CHAPADA DOS GUIMARAES,MT,BRAZIL,****,01/11/2012,19:49:00,YES,SERIPA-6,FINISHED,-,1.0,03/06/2014,1,1,-,30/07/2016
446,53372,ACCIDENT,LOSS OF CONTROL IN THE AIR,CHAPADA DOS GUIMARAES,MT,BRAZIL,****,10/07/2015,20:30:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
447,53262,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,IBATEGUARA,AL,BRAZIL,****,20/05/2015,15:10:00,YES,SERIPA-2,IN PROGRESS,-,-,-,0,1,-,30/07/2016
448,44780,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,BOA ESPERANCA,PR,BRAZIL,****,10/07/2011,20:00:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
449,46844,ACCIDENT,LOSS OF CONTROL ON THE GROUND,GURUPA,PA,BRAZIL,SNGU,22/12/2012,19:00:00,YES,SERIPA-1,FINISHED,-,-,-,0,1,-,30/07/2016
450,40107,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,GURUPA,PA,BRAZIL,****,12/01/2010,14:30:00,YES,SERIPA-1,FINISHED,-,1.0,18/03/2016,0,1,-,30/07/2016
451,32635,ACCIDENT,LANDING WITHOUT LANDING GEAR,NOVA OLINDA DO NORTE,AM,BRAZIL,SWNO,14/03/2007,20:50:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
452,50974,ACCIDENT,LOSS OF CONTROL IN THE AIR,CORGUINHO,MS,BRAZIL,SSKG,04/04/2014,12:00:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
453,52283,ACCIDENT,LOSS OF CONTROL IN THE AIR,BARREIRAS,BA,BRAZIL,****,24/07/2014,13:30:00,UNKNOWN,SERIPA-2,-,-,-,-,0,1,-,30/07/2016
454,46378,SERIOUS INCIDENT,LANDING ON UNPREDICTABLE PLACE,BARREIRAS,BA,BRAZIL,****,22/09/2012,16:40:00,YES,CENIPA,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
455,53181,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,COLIDER,MT,BRAZIL,****,29/03/2015,20:17:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
456,27375,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,IGREJA NOVA,AL,BRAZIL,****,29/07/2006,19:40:00,YES,SERIPA-2,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
457,51716,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,NOVO AIRAO,AM,BRAZIL,****,16/07/2014,15:15:00,YES,SERIPA-7,FINISHED,-,1.0,24/04/2015,0,1,-,30/07/2016
458,50091,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,CORUMBA,MS,BRAZIL,****,19/10/2013,11:05:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
459,44944,ACCIDENT,AIRCRAFTS COLLISION IN THE AIR,CORUMBA,MS,BRAZIL,****,10/06/2011,20:30:00,YES,SERIPA-4,FINISHED,-,1.0,30/07/2013,4,2,-,30/07/2016
460,44536,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CORUMBA,MS,BRAZIL,****,14/05/2011,19:35:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
461,53497,ACCIDENT,LOSS OF CONTROL IN THE AIR,CORUMBA,MS,BRAZIL,****,06/10/2015,12:00:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
462,51071,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,ARARAQUARA,SP,BRAZIL,SBAQ,13/02/2014,17:45:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
463,53237,ACCIDENT,LOSS OF CONTROL IN THE AIR,ARARAQUARA,SP,BRAZIL,****,28/04/2015,21:00:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
464,43451,ACCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,ARARAQUARA,SP,BRAZIL,SBAQ,05/11/2010,22:36:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
465,45569,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,COSTA RICA,MS,BRAZIL,****,24/02/2012,10:50:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
466,38425,ACCIDENT,LANDING ON UNPREDICTABLE PLACE,NITEROI,RJ,BRAZIL,****,27/08/2009,15:00:00,YES,SERIPA-3,FINISHED,-,1.0,22/03/2012,3,1,-,30/07/2016
467,46450,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,NOVO ARIPUANA,AM,BRAZIL,****,24/09/2012,13:30:00,YES,SERIPA-7,FINISHED,-,1.0,02/10/2014,0,1,-,30/07/2016
468,28636,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,COXIM,MS,BRAZIL,****,28/03/2007,17:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
469,26902,ACCIDENT,FIRE ON THE GROUND,COXIM,MS,BRAZIL,****,09/03/2006,13:30:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
470,45942,SERIOUS INCIDENT,ABOUT LANDING GEAR,ARARAS,SP,BRAZIL,SDAA,19/06/2012,13:40:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
471,53148,ACCIDENT,LOSS OF CONTROL ON THE GROUND,ARARAS,SP,BRAZIL,SDEH,12/03/2015,12:40:00,YES,SERIPA-4,FINISHED,-,1.0,19/10/2015,0,1,-,30/07/2016
472,43901,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ARARAS,SP,BRAZIL,****,19/02/2011,18:20:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
473,45167,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CONFRESA,MT,BRAZIL,SJHG,01/11/2011,09:15:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,-,30/07/2016
474,53231,ACCIDENT,LOSS OF CONTROL IN THE AIR,CONFRESA,MT,BRAZIL,****,23/04/2015,12:30:00,YES,SERIPA-6,FINISHED,-,1.0,15/02/2016,0,1,-,30/07/2016
